0,1,2,3,4,5,6,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Discussion,atheist,recorded for general public,About religious people,TRUE,TRUE,0.083342511,0.089347458,0,0,0,-0.106511235,0.01786902,0,0,0,1.285714286,0.002241144,0.002523114,,,About Christian fundamentalists,FALSE,FALSE,0.151965484,0,0,0,0,0.222143452,0,0,0,0,Christians,,About Muslims,FALSE,FALSE,0,0,0,0.060869565,0,0,0,0,-0.027414286,0
2007,Discussion,atheist,recorded for general public,About scientists,TRUE,FALSE,0.011689653,0.046824972,0.032813195,0.017151476,0.050913955,-0.017087958,-0.035801068,0.054105841,-0.006460485,0.011148338,2.363636364,0.000302774,0.001165052,,,About Christian fundamentalists,TRUE,FALSE,0,0.07826087,0,0,0,0,0.017781481,0,0,0,Christians,,About Muslims,TRUE,FALSE,0,0.026086957,0.004944931,0,0.041666667,0,0.00592716,0.121033333,0,-0.063909259
2007,Discussion,atheist,recorded for general public,About scientists,TRUE,TRUE,0.061496987,0.066964286,0,0.00990099,0,-0.009992683,0.028743333,0,-0.0144625,0,1,0.001133825,0.00028288,,,About Christian fundamentalists,TRUE,TRUE,0.02486969,0.040047493,0.040506818,0.018136681,0.037131156,-0.015183359,-0.036478365,-0.00207178,-0.002531988,-0.022981061,Christians,,About Muslims,TRUE,TRUE,0,0,0,0.038065844,0.06557377,0,0,0,-0.028841892,0.134059375
2007,q&a,random,general live event,About Christians,FALSE,FALSE,0.104166667,0,0,0,0,-0.14952,0,0,0,0,1,0.002170139,0.004471246,,,About Christian fundamentalists,TRUE,FALSE,0.06005796,0.076749239,0,0,0,-0.056173801,0.10080798,0,0,0,Christians,,About other religious people,FALSE,FALSE,0,0,0,0,0.285801714,0,0,0,0,-0.018843182
2007,q&a,random,general live event,About Christians,TRUE,FALSE,0.037610816,0.020779865,0.031612364,0.052498708,0.007758621,0.011410714,0.03252414,0.011278323,-0.012378957,-0.004551111,1.25,0.000286598,0.000299014,,,About Christian fundamentalists,TRUE,TRUE,0.161073826,0,0,0,0,-0.478458333,0,0,0,0,Christians,,About other religious people,TRUE,FALSE,0,0,0,0.055187638,0.190534476,0,0,0,-0.062170667,0.012562121
2007,q&a,random,general live event,About religious people,FALSE,FALSE,0,0,0.048601864,0,0.068493151,0,0,-0.019796575,0,0.02369,4,0.001077801,0.000237522,,,About Christian fundamentalists,FALSE,FALSE,0.183673469,0,0,0,0,-0.083377778,0,0,0,0,Christians,,About other religious people,TRUE,TRUE,0.099063289,0,0.032,0.02519685,0,-0.101616023,0,0.032518333,0.01455625,0
2007,q&a,random,general live event,About religious people,TRUE,FALSE,0.047393342,0.019405995,0.009440813,0.034909816,0.056085996,-0.024995275,-0.013493225,-0.021874208,0.075300916,0.023243367,2.125,0.000370653,0.001801057,,,About Christian fundamentalists,TRUE,FALSE,0.097513321,0,0.056910569,0,0,-0.113605556,0,0.003241071,0,0,Christians,,About other religious people,TRUE,FALSE,0.047297758,0.038091419,0.016229713,0,0.00617284,-0.023404167,-0.003582511,0.00510641,0,0.009506667
2007,q&a,random,general live event,About religious people,TRUE,TRUE,0,0,0.085915105,0,0.088319088,0,0,0.081597315,0,0.050441398,1.5,0.002277539,0.001428903,,,About Christian fundamentalists,TRUE,TRUE,0,0,0,0.059210526,0.042105263,0,0,0,0.025594444,-0.0160125,Christians,,About moderate Muslims,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0
2007,q&a,random,general live event,About scientists,TRUE,FALSE,0,0.054712783,0.024300932,0.034313725,0,0,-0.046751207,0.009898288,0.025385714,0,4,0.000548208,0.000725447,,,About Christian fundamentalists,TRUE,FALSE,0.022335025,0.052941176,0.064304235,0,0.014012739,-0.011404545,0.014535556,0.06895087,0,-0.024389091,Christians,,About moderate Muslims,TRUE,TRUE,0.055449331,0,0.054794521,0,0,0.207025,0,-0.032290625,0,0
2007,q&a,random,general live event,About secular people,FALSE,TRUE,0,0.122241087,0,0,0,0,-0.088234722,0,0,0,0.5,0.002988577,0.001557073,,,About Christians,FALSE,FALSE,0.066613804,0.010217893,0.057125256,0,0,0.052531349,0.007118537,-0.040898653,0,0,Christians,,About Muslims,TRUE,FALSE,0.140625,0.038834951,0.047619048,0,0,-0.17521358,-0.095594444,-0.052571429,0,0
